Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
The Best of Enemies,05-Apr-19,54.0,"Biography, Drama, History","In 1971, a summit on school integration in North Carolina pits a civil rights activist against a Ku Klux Klan leader, sparking an unlikely friendship.","Babou Ceesay, Anne Heche, Sam Rockwell, Taraji P. Henson",English,"$10,205,616","South Africa,Russia,Portugal,Lithuania,Greece,Poland,Czech Republic,Slovakia,Spain,Belgium,Germany,Switzerland,United Kingdom"
Shadow,30-Sep-18,94.0,"Action, Adventure, Drama, Fantasy, History, War","As three kingdoms struggle for control of a walled city, a figure with a rare power spins a web of intrigue that entangles a kings court.","Li Sun, Chao Deng, Ryan Zheng, Qianyuan Wang",Mandarin,"$521,396","Australia,Canada,United Kingdom,United States"
Thoroughbreds,09-Mar-18,87.0,"Comedy, Crime, Drama, Thriller",Rich teens Lily and Amanda rekindle a friendship and discover a common passion: They both hate Lily’s despicable stepfather. A killer plan is born.,"Anton Yelchin, Anya Taylor-Joy, Olivia Cooke, Paul Sparks",English,"$3,072,605","Canada,Brazil,Portugal,Argentina,Mexico,Colombia,Lithuania,Poland,Greece,Czech Republic,South Africa,Thailand,Hungary,Slovakia,Israel,Australia,Turkey,India,Malaysia,Hong Kong,Russia,Singapore,Switzerland,Germany,Romania"
Murder on The Orient Express,10-Nov-17,60.0,"Crime, Drama, Mystery","In this Agatha Christie mystery, when a murder takes place on the famed Orient Express train, world-renowned detective Hercule Poirot takes the case.","Yassine Zeroual, Paapa Essiedu, Michael Rouse, Asan N'Jie","English, French, Arabic, German","$102,826,543","Switzerland,Germany"
"Three Billboards Outside Ebbing, Missouri",01-Dec-17,90.0,"Comedy, Crime, Drama","A grieving mother, furious that the local police chief has not yet solved her daughter’s murder, puts up a series of billboards calling him out.","Caleb Landry Jones, Kerry Condon, Sam Rockwell, Frances McDormand",English,"$54,513,740","Germany,Switzerland"
Ferdinand,15-Dec-17,72.0,"Animation, Adventure, Comedy, Family, Fantasy","Taken for a fierce fighter, a giant yet gentle bull returns to his old ranch, where he tries to dodge the bullring with the help of his misfit friends.","Jack Gore, Colin H. Murphy, Nile Diaz, Jet Jurgensmeyer","English, Spanish, German","$84,410,380","Switzerland,Germany"
You Were Never Really Here,06-Apr-18,89.0,"Crime, Drama, Mystery, Thriller",An emotionally damaged veteran who makes a living by rescuing young women from sex traffickers is hired to save a politicians daughter.,"Dante Pereira-Olson, Joaquin Phoenix, Vinicius Damasceno, Larry Canady",English,"$2,528,078","Switzerland,Netherlands,Germany"
Echo in the Canyon,07-Jun-19,90.0,"Documentary, Music","An affectionate documentary looks back at the mid-1960s, when Hollywood’s Laurel Canyon was a creative nexus for young, innovative musicians.","Lou Adler, The Beach Boys, Beck, Fiona Apple",English,"$3,355,324","United States,Canada,Greece,Hong Kong,Thailand,Singapore,Malaysia"
Hellboy,12-Apr-19,18.0,"Action, Adventure, Fantasy, Horror, Sci-Fi",A half-demon paranormal investigator questions his defending of humans as a dismembered sorceress rejoins the living to fulfill an inhumane prophecy.,"Mark Stanley, Maria Tepavicharova, Nadya Keranova, Brian Gleeson","English, Spanish, Russian, German","$21,903,748","United Kingdom,Romania,Hungary,Czech Republic,Slovakia"
The Mule,14-Dec-18,70.0,"Crime, Drama, Thriller","Deep in past regrets and financial woes, a retired man in his 80s accepts a job as a drug courier for a Mexican cartel.","Cesar De León, Patrick L. Reyes, Clint Eastwood, Gustavo Muñoz","English, Spanish","$103,804,407","Portugal,Canada,Switzerland,Belgium,Hungary,Czech Republic,Germany,Poland,India,Slovakia,Netherlands,Turkey,Romania,Thailand,Singapore,Malaysia,Hong Kong"
In My Country,07-May-04,23.0,"Drama, Romance","A teacher turns to a dubious man to raise money for her daughters life-saving surgery, a crisis that is unexpectedly catapulted to a national stage.","Brendan Gleeson, Samuel L. Jackson, Menzi Ngubane, Juliette Binoche","English, Afrikaans","$163,893","Australia,Russia,Singapore,Romania,South Africa,India,Hungary,Slovakia,Lithuania,United Kingdom,Iceland,Canada,Thailand,Turkey,Czech Republic,Belgium,Japan,France,Hong Kong,Sweden,Poland,Portugal,Germany,Argentina,Spain,Mexico,Greece,United States,Brazil,Netherlands,Italy,Israel,Colombia"
Dogman,12-Apr-19,84.0,"Crime, Drama, Thriller","When his life hits a breaking point, a meek dog groomer must find a way to free himself from under the thumb of the town bully, a browbeating ex-boxer.","Nunzia Schiano, Edoardo Pesce, Adamo Dionisi, Marcello Fonte",Italian,"$148,225",Canada
They Shall Not Grow Old,01-Feb-19,99.0,"Documentary, History, War",This moving documentary brings World War I to life for new generations through eyewitness accounts and vividly restored and colorized footage.,"Attwood, John Ashby, William Argent, Thomas Adlam",English,"$17,956,913","Canada,India,Thailand,Singapore,Hong Kong,Malaysia"
Dark Blue World,17-May-01,62.0,"War, Drama, Action, Romance","Czech pilot Franta Slama and his young protégé, Karel Vojtisek, escape Nazi-occupied Czechoslovakia to join the British Royal Air Force in fighting the Germans. A father-son relationship develops between the two.","Krystof Hádek, Tara Fitzgerald, Charles Dance, Ondrej Vetchý","Czech, German, English, Slovak","$258,771","Czech Republic,Slovakia"
Ransom,08-Nov-96,75.0,"Action, Crime, Thriller","When the drop to pay his sons abductors goes awry, a multimillionaire goes on television and puts a $2 million bounty on the heads of the kidnappers.","Brawley Nolte, Rene Russo, Gary Sinise, Mel Gibson",English,"$136,492,681","Switzerland,Brazil,Italy,Argentina,Mexico,Colombia,Australia"
Mortal Engines,14-Dec-18,26.0,"Action, Adventure, Fantasy, Sci-Fi, Thriller","In a post-apocalyptic new world, a young woman and her rebel friends seek to stop the giant mobile city of London from devouring everything in its path.","Hera Hilmar, Robert Sheehan, Hugo Weaving, Jihae",English,"$15,951,040","Lithuania,Israel,Poland,Greece,Turkey,Thailand,Singapore,Malaysia,Hong Kong,United Kingdom,India,Czech Republic,Canada,South Africa"
Dabangg,10-Sep-10,60.0,"Action, Comedy","Bollywood bad boy Salman Khan stars as Chulbul Pandey, a corrupt cop who tracks down criminals and takes their money, keeping it for himself. When a new love, Rajo, encourages him to reach out to his estranged family, Chulbul reexamines his life.","Salman Khan, Sonu Sood, Arbaaz Khan, Sonakshi Sinha",Hindi,"$1,288,549",India
The Fortress,20-Oct-17,57.0,"Action, Drama, History, War","When Qing forces attack the Joseon kingdom in the 17th century, King Injo and his retainers hold their ground at Namhansanseong fortress.","Soo Go, Park Hae-il, Kim Yoon-seok, Lee Byung-Hun",Korean,"$252,895",South Korea
RV: Resurrected Victims,20-Oct-17,50.0,"Action, Mystery, Thriller",A prosecutor falls under suspicion for the murder of his mother when she comes back from the dead -- and seems to want revenge against him.,"Kim Hae-sook, Rae-won Kim, Dong-il Sung, Hye-jin Jeon",Korean,"$20,374",South Korea
Five Feet Apart,15-Mar-19,52.0,"Drama, Romance",A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient.,"Haley Lu Richardson, Moises Arias, Cole Sprouse, Kimberly Hebert Gregory","English, French","$45,729,221","India,United Kingdom,South Korea,Sweden,Australia,Poland"
Wonder Park,15-Mar-19,34.0,"Animation, Adventure, Comedy, Family, Fantasy","When her dream amusement park is in jeopardy, a young girl with a wild imagination sets off to save the fantasy wonderland with her furry friends.","Ken Hudson Campbell, Sofia Mali, Jennifer Garner, Kenan Thompson",English,"$45,216,793","Iceland,Lithuania,Canada,Belgium,Spain,South Africa,Portugal,Greece,Sweden,Turkey,Italy,Australia,Poland,Czech Republic,Hungary,Slovakia,Romania,Israel,Thailand,Singapore,Hong Kong,Malaysia,India,South Korea"
What Men Want,08-Feb-19,42.0,"Comedy, Fantasy, Romance","After being passed over for a promotion, an ambitious woman uses her newfound ability to hear men’s thoughts to score big at a macho sports agency.","Kristen Ledlow, Kellan Lutz, Josh Brener, Taraji P. Henson","English, Mandarin","$54,611,903","Hungary,Lithuania,Canada,Belgium,Russia,Czech Republic,Spain,South Africa,Iceland,Portugal,Italy,Australia,Poland,Greece,Slovakia,Sweden,Turkey,Hong Kong,Thailand,Singapore,Malaysia,Israel,India,Romania,United Kingdom,South Korea"
Night School,28-Sep-18,26.0,Comedy,A high school dropout studying to pass his GED exam butts heads with his sassy night school teacher and a vindictive principal.,"Romany Malco, Rob Riggle, Tiffany Haddish, Kevin Hart","English, Spanish, French, Arabic","$77,339,130","United Kingdom,Lithuania,India,Hungary,Hong Kong,Canada,Thailand,South Africa,Czech Republic,Singapore,Malaysia,Turkey,South Korea,Portugal"
Green Book,16-Nov-18,78.0,"Biography, Comedy, Drama, Music","Out of their elements, a refined pianist hires a street-smart driver to navigate a concert tour of the segregated Deep South.","Linda Cardellini, Mahershala Ali, Sebastian Maniscalco, Viggo Mortensen","English, Italian, Russian, German","$85,080,171","Hungary,Spain,Sweden,Turkey,Australia,Malaysia"
Nancy Drew and the Hidden Staircase,26-Mar-19,72.0,"Comedy, Crime, Drama, Family, Mystery","For 16-year-old Nancy Drew, life in her small town is pretty boring -- until she and her former nemesis team up to solve a mystery at a local mansion.","Zoe Renee, Mackenzie Graham, Sophia Lillis, Andrea Anders",English,"$623,088","Canada,Switzerland,Portugal,Italy,India"
Phantom Thread,19-Jan-18,91.0,"Drama, Romance","A fashion designer is drawn to a waitress, who becomes his model, muse and lover. With time, their relationship grows in intensity -- and strangeness.","Lesley Manville, Julie Vollono, Vicky Krieps, Daniel Day-Lewis","English, French","$21,198,205","Japan,Brazil,Argentina,Mexico,Colombia,France,Switzerland"
If Beale Street Could Talk,25-Dec-18,95.0,"Drama, Romance","Harlem of the ‘70s comes alive in this story of pregnant Tish and her crusade to free her fiancé, Fonny, who’s in prison for a crime he didn’t commit.","KiKi Layne, Regina King, Stephan James, Teyonah Parris","English, Spanish","$14,915,773","South Africa,Russia,Lithuania,Czech Republic,Portugal,Belgium,Poland,Greece,Slovakia,Sweden,Australia,Netherlands,Germany"
Slaughterhouse Rulez,17-May-19,38.0,"Action, Comedy, Fantasy, Horror, Thriller","New to town, a middle-class teen flounders at a top boarding school when a nearby sinkhole at a fracking site unleashes tremors of terror.","Margot Robbie, Asa Butterfield, Michael Sheen, Simon Pegg",English,"$4,665","Hong Kong,Russia,Lithuania,United Kingdom,Thailand,Belgium,Czech Republic,Spain,Portugal,Poland,Singapore,Malaysia,Slovakia,Sweden,Germany,Switzerland,Canada"
Unbroken: Path to Redemption,14-Sep-18,38.0,"Biography, Drama, History","After returning home from WWII, an Olympic athlete struggles to overcome the memories of his traumatic past until he finds faith.","David Sakurai, Samuel Hunt, Bobby Campo, Merritt Patterson","English, Italian","$6,216,897","Hong Kong,France,Switzerland,Thailand,Japan,South Africa,Singapore,India,Malaysia,Turkey"
The Battleship Island,26-Jul-17,64.0,"Action, Drama, History","During the Japanese colonial era, a Korean band leader and his daughter are coerced into being forced laborers on Hashima Island. Based on true events.","Hwang Jung-min, Song Joong-Ki, So Ji-seob, Lee Jung-hyun","Korean, Japanese","$1,104,957",South Korea
Real,07-Oct-11,60.0,"Action, Drama, Sci-Fi, Sport","While fighting to keep his casino, a crime boss with multiple personalities meets a mysterious investor who begins imitating his life.","Dakota Goyo, Evangeline Lilly, Hugh Jackman, Anthony Mackie","English, Ukrainian","$85,468,508",South Korea
A Taxi Driver,11-Aug-17,96.0,"Action, Drama, History",A cab driver in Seoul takes a German reporter to investigate rumors of civil unrest in Gwangju not knowing what awaits them there. Based on true events.,"Thomas Kretschmann, Jun-Yeol Ryu, Hae-Jin Yoo, Kang-ho Song","Korean, German, English, Japanese","$1,527,829","Japan,South Korea"
Fabricated City,24-Feb-17,67.0,"Action, Crime, Thriller","When an unemployed gamer is framed for murder and forced to go on the run, his internet buddies gather together to solve the case.","Ji Chang-Wook, Eun-kyung Shim, Jae-hong Ahn, Min-Jung Bae",Korean,"$104,874",South Korea
Confidential Assignment,03-Feb-17,63.0,Action,"An elite North Korean agent goes to Seoul to investigate a case and joins forces with a South Korean detective, who’s been given an alternate mission.","Hyun Bin, Ju-hyuk Kim, Hae-Jin Yoo, Lee Hae-Young",Korean,"$475,618",South Korea
"Lets Go, JETS! From Small Town Girls to U.S. Champions?!",12-Dec-08,98.0,"Crime, Drama, Fantasy, Horror, Romance","Led by a demanding coach, an unlikely squad of small town girls vie for victory in a major US cheer dance championship. Based on true events.","Kåre Hedebrant, Per Ragnar, Lina Leandersson, Henrik Dahl","Swedish, Spanish","$2,122,065",South Korea
Evelyn,25-Dec-02,64.0,Drama,"Haunted by the suicide of a brother, a director and his kin walk across the U.K. in an emotionally trying, visually sublime journey toward healing.","Pierce Brosnan, Niall Beagan, Hugh McDonagh, Sophie Vavasseur",English,"$1,487,645","Portugal,Spain,Romania,Iceland,Belgium,Greece,Czech Republic,Argentina,Australia,Japan,France,Hong Kong,South Korea,Russia,Sweden,Poland,India,Netherlands,Slovakia,Germany,Lithuania,Brazil,Hungary,Turkey,Italy,Israel,Canada,Mexico,South Africa,Singapore,Switzerland,United States,Thailand,United Kingdom,Malaysia,Colombia"
The Entity,04-Feb-83,64.0,"Drama, Horror","When a man returns home to search for the reason behind the mysterious passing of his twin sister, he uncovers family secrets that nearly destroy him.","Barbara Hershey, George Coe, David Labiosa, Ron Silver",English,"$13,277,558","Hong Kong,Thailand,Singapore,Malaysia"
Time Freak,07-Nov-18,55.0,"Comedy, Drama, Romance, Sci-Fi","After getting dumped by his girlfriend, a teenage physics genius travels back in time to fix his relationship, one mistake at a time.","Will Peltz, Asa Butterfield, Skyler Gisondo, Sophie Turner",English,"$10,003","Portugal,Belgium,Italy,Sweden"
I Still See You,12-Oct-18,8.0,"Fantasy, Horror, Sci-Fi, Thriller","A decade after a deadly explosion, a high school student walking among ghosts meets a shadowy boy who blurs the line between the living and the dead.","Richard Harmon, Dermot Mulroney, Bella Thorne, Amy Price-Francis",English,"$1,359",Belgium
Fantastic Beasts: The Crimes of Grindelwald,16-Nov-18,36.0,"Adventure, Family, Fantasy","As the dark wizard Grindelwald gains ground, Dumbledore enlists Newt Scamander to locate a teenager whose mysterious affliction might turn the tide.","Johnny Depp, Carmen Ejogo, Kevin Guthrie, Wolf Roth","English, French","$159,555,901","Switzerland,Canada,Belgium,Netherlands,Spain,Germany,India,Turkey,Thailand,Singapore,Malaysia,Hong Kong"
Blinded by the Light,16-Aug-19,89.0,"Comedy, Drama, Music","After discovering the music of Bruce Springsteen, a Pakistani British teenager begins to understand his identity, his culture and the world at large.","Viveik Kalra, Lee Barnett, Billy Barratt, Ronak Singh Chadha Berges",English,"$11,901,145",India
A Dogs Way Home,11-Jan-19,59.0,"Adventure, Drama, Family","A devoted, homesick dog goes on a treacherous journey across the American heartland to be reunited with her owner.","Ashley Judd, Alexandra Shipp, Jonah Hauer-King, Edward James Olmos",English,"$42,004,346","South Africa,Lithuania,Belgium,Czech Republic,Spain,Portugal,Israel,Poland,Slovakia,Sweden,Germany,Switzerland,Canada,United Kingdom,Italy"
Aquaman,21-Dec-18,65.0,"Action, Adventure, Fantasy, Sci-Fi",Amphibious superhero Arthur Curry learns what it means to be Aquaman when he must stop the king of Atlantis from waging war against the surface world.,"Willem Dafoe, Amber Heard, Patrick Wilson, Jason Momoa","English, Russian, Maori, Italian","$335,061,807","Switzerland,Canada,Belgium,Netherlands,Spain,Germany,India,Turkey,Thailand,Singapore,Malaysia,Hong Kong"
Kingsman: The Golden Circle,22-Sep-17,51.0,"Action, Adventure, Comedy, Crime, Thriller","In this second film in the Kingsman series, Eggsy and Merlin seek the aid of their American counterparts, Statesman, after their agency is attacked.","Edward Holcroft, Mark Strong, Taron Egerton, Gordon Alexander","English, Italian, Swedish","$100,234,838",Germany
Wonder Wheel,15-Dec-17,32.0,Drama,A Coney Island lifeguard tells the tale of a prodigal daughter on the run from the mob and a passionate stepmother who harbors regrets of her own.,"Robert C. Kirk, Kate Winslet, Justin Timberlake, Juno Temple",English,"$1,404,061",United Kingdom
Elena,01-Sep-12,81.0,"Documentary, Biography, Drama, Family","In this documentary, the director remembers a sister who left behind her life under Brazil’s dictatorship and moved to New York with dreams of acting.","Li An, Petra Costa, Elena Andrade","Portuguese, English","$25,788","France,Switzerland,Spain,United Kingdom,Argentina,Canada,Australia,Mexico,United States,Brazil,Italy,Colombia"
Hell Fest,28-Sep-18,40.0,"Horror, Thriller","A serial killer picks off a group of friends, one by one, as they make their way through a hell-themed amusement park.","Cynthea Mercado, Amy Forsyth, Stephen Conroy, Reign Edwards",English,"$11,107,431","United Kingdom,Belgium,United States,South Korea"
Halloween,19-Oct-18,79.0,"Crime, Horror, Thriller","A masked killer who went on a Halloween night murder spree 40 years ago escapes incarceration, targeting the victim who got away -- and her family.","Andi Matichak, James Jude Courtney, Jamie Lee Curtis, Judy Greer",English,"$159,342,015","United Kingdom,India,Hong Kong,Canada,Thailand,Hungary,Czech Republic,Singapore,Malaysia,Slovakia,South Africa,Portugal,Romania"
Robin Hood,21-Nov-18,15.0,"Action, Adventure, Drama, Thriller",A war-weary thief masquerades as a frivolous playboy while secretly leading a revolt against the wicked Sheriff of Nottingham.,"Jamie Foxx, Taron Egerton, Ben Mendelsohn, Eve Hewson","English, Arabic","$30,824,628","South Korea,Hungary,Romania,Czech Republic,Spain,Slovakia,Turkey,Canada,Malaysia"
Lucky,29-Sep-17,77.0,"Comedy, Drama",A lonely 90-year-old with a rigid routine and a penchant for cigarettes begins to have an existential crisis in the waning days of his life.,"David Lynch, Harry Dean Stanton, Ron Livingston, Ed Begley Jr.","English, Spanish","$955,925",India
First Man,12-Oct-18,87.0,"Biography, Drama, History","Astronaut Neil Armstrong spends a decade training for the flight of a lifetime, as he prepares to be the first man to walk on the moon.","Jason Clarke, Kyle Chandler, Ryan Gosling, Claire Foy",English,"$44,936,545","United Kingdom,Hong Kong,Thailand,Hungary,Czech Republic,Singapore,Malaysia,Slovakia,South Africa,Portugal,Canada,Romania"
Instant Family,16-Nov-18,81.0,"Comedy, Drama",Two house flippers are certain they can handle their latest project: adopting three longtime foster kids. But this group is anything but a family.,"Rose Byrne, Gustavo Escobar, Mark Wahlberg, Isabela Merced","English, Spanish","$67,363,237","South Korea,Portugal,South Africa,Hungary,Hong Kong,Belgium,Czech Republic,Netherlands,Spain,Iceland,Israel,Italy,Poland,Greece,Slovakia,Sweden,Turkey,India,Romania"
Escape Room,04-Jan-19,51.0,"Action, Adventure, Horror, Mystery, Thriller",Six strangers use their wits to survive a series of deadly mystery rooms that cater to their worst fears -- or die trying.,"Logan Miller, Jay Ellis, Tyler Labine, Taylor Russell",English,"$57,005,601","South Africa,Portugal,Czech Republic,Israel,Poland,Greece,Slovakia,Sweden,Belgium,United Kingdom,Canada,Spain,Switzerland,Germany,Italy"
Growing Up Smith,03-Feb-17,73.0,"Comedy, Drama, Family","In 1970s suburbia, a young boy tries to balance his Indian family’s expectations with his love for American pop culture -- and an American girl.","Jason Lee, Brighton Sharbino, Hilarie Burton, Anjul Nigam",English,"$35,312",India
Belle and Sebastian,14-Feb-18,56.0,"Adventure, Family","In the Alps, a courageous boy, Sebastian, and his giant but gentle dog, Belle, stumble upon adventure while searching for his long-lost mother.","Thierry Neuvic, Tchéky Karyo, Félix Bossuet, Clovis Cornillac","French, Italian","$105,890","Romania,France,Lithuania,Belgium,Hungary,Czech Republic,Italy,Poland,Greece,Slovakia"
London Fields,26-Oct-18,0.0,"Crime, Mystery, Thriller","A clairvoyant temptress seeks to identify her future murderer, while also tending to the flock of her ever-growing admirers.","Jaimie Alexander, Cara Delevingne, Amber Heard, Gemma Chan",English,"$252,676","Belgium,Portugal,Hungary,Hong Kong,Czech Republic,Israel,Poland,Turkey,Netherlands,Greece"
Fahrenheit 11/9,21-Sep-18,82.0,Documentary,"In this provocative documentary, director Michael Moore examines the impact of Donald Trumps presidency and seeks a political escape plan.","Roger Ailes, Jim Acosta, Brooke Baldwin, Ashleigh Banfield",English,"$6,352,306",Japan
Badla,08-Mar-19,60.0,"Crime, Drama, Mystery, Thriller","When a woman is accused of killing her lover, a renowned lawyer is hired -- but the more they try to  untangle the truth, the more convoluted it becomes.","Antonio Aakeel, Amitabh Bachchan, Amrita Singh, Taapsee Pannu",Hindi,"$1,861,000","Switzerland,Australia,Hong Kong,France,Russia,Singapore,India,Slovakia,Germany,Lithuania,Thailand,Iceland,United Kingdom,Canada,South Africa,Mexico,Czech Republic,Belgium,Argentina,Romania,Hungary,Turkey,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia"
Screwball,29-Mar-19,94.0,Documentary,A steroid peddler explains how he went from an unlicensed anti-aging expert to the point man for the biggest scandal in baseball history.,"Frankie Diaz, Bryan Blanco, Samuel Kai Taylor, Ian Mackles",English,"$13,967","Switzerland,Thailand,Australia,France,Czech Republic,Poland,Japan,South Korea,Hong Kong,Russia,Netherlands,Sweden,Israel,Singapore,Greece,Romania,United States,Iceland,Hungary,India,Germany,Lithuania,Brazil,Spain,United Kingdom,Canada,Slovakia,South Africa,Mexico,Portugal,Belgium,Argentina,Italy,Turkey,Malaysia,Colombia"
Mollys Game,05-Jan-18,81.0,"Biography, Crime, Drama",Former Olympian Molly Bloom ran a high-stakes poker game for the stars -- until her lofty lifestyle nearly sent her to prison.,"Kevin Costner, Idris Elba, Jessica Chastain, Michael Cera",English,"$28,780,744","Sweden,Japan,Hong Kong,Spain,United States,Netherlands,Canada,South Korea"
A Star Is Born,05-Oct-18,90.0,"Drama, Music, Romance","When an aspiring singer develops a passionate relationship with a seasoned musician, her career begins to soar as his vices trigger a downward spiral.","Bradley Cooper, Sam Elliott, Andrew Dice Clay, Lady Gaga",English,"$215,288,866","Canada,Thailand,Hong Kong,Spain,Singapore,India,Malaysia,Turkey,Italy,Switzerland"
Teachers,09-Jan-04,49.0,Comedy,"This irreverent comedy follows the chaotic lives, loves and drinking sessions of a group of hapless secondary schoolteachers.","Danny Allen, Michael Birkeland, Jim Bennett, Jeff Birk",English,"$203,917","United Kingdom,Australia"
Miss Bala,01-Feb-19,21.0,"Action, Crime, Drama, Thriller","While visiting Tijuana, a woman is forced to work for both a ruthless cartel and a DEA agent in order to save her kidnapped friend.","Gina Rodriguez, Thomas Dekker, Vivian Chan, Barbarella Pardo","English, Spanish","$15,006,824","Russia,Switzerland,Portugal,Czech Republic,Italy,Poland,Lithuania,Greece,Belgium,Slovakia,Spain,Canada,United Kingdom,Sweden"
Now and Then,20-Oct-95,32.0,"Comedy, Drama, Romance","Waxing nostalgic about the bittersweet passage from childhood to puberty, four childhood girlfriends recall the magical summer of 1970.","Thora Birch, Rosie O'Donnell, Christina Ricci, Melanie Griffith",English,"$27,112,329",Australia
The Mercy,28-Nov-17,74.0,"Adventure, Biography, Drama, Mystery","Facing financial ruin, an amateur sailor falsely competes in the 1968 Golden Globe Race and opts for a solo voyage that sends him on a downward spiral.","Colin Firth, Zara Prassinot, Eleanor Stagg, Rachel Weisz","English, Spanish","$29,538","Romania,Hungary,Belgium,Czech Republic,Slovakia"
The Rider,13-Apr-18,97.0,"Drama, Western","After a near-fatal fall, a cowboy is hesitant to walk away from his rodeo-riding days, even if it means risking his life.","Lilly Jandreau, Brady Jandreau, Tim Jandreau, Mooney","English, Spanish, Sioux","$2,419,031","Japan,Australia"
Sorry to Bother You,13-Jul-18,93.0,"Comedy, Fantasy, Sci-Fi","After heeding a co-workers advice, a telemarketer easily climbs up the corporate ladder -- until success lands him in corporate and moral chaos.","Tessa Thompson, Jermaine Fowler, LaKeith Stanfield, Omari Hardwick",English,"$17,493,096","Russia,India,United Kingdom,Israel,Greece,Turkey,Thailand,Singapore,Malaysia,Hong Kong,Canada,Poland,Czech Republic,Hungary,Romania,South Korea"
Overlord,09-Nov-18,81.0,"Action, Adventure, Horror, Sci-Fi, War","On the eve of D-Day, several American G.I.s embark on a mission behind enemy lines and uncover a supernatural secret beyond their worst nightmares.","Wyatt Russell, Pilou Asbæk, Jovan Adepo, Mathilde Ollivier","English, German, French","$21,704,844","Hungary,Portugal,Belgium,India,South Africa,United Kingdom,Hong Kong,Thailand,Netherlands,Spain,Czech Republic,Israel,Italy,Australia,Poland,Singapore,Malaysia,Slovakia,South Korea,Romania"
The Salesman,31-Aug-16,96.0,Drama,"A wrongdoing upends the lives of married theater actors Rana and Emad, whose pursuit of the perpetrator leads him down a vengeful, ruinous path.","Mina Sadati, Babak Karimi, Shahab Hosseini, Taraneh Alidoosti","Persian, English","$2,402,067",South Korea
On Wings of Eagles,03-Nov-17,62.0,"Drama, History, Sport, War","During World War II in China, a Christian Olympic runner Eric Liddell finds himself in a fight for his life as a prisoner of war.","Joseph Fiennes, Shawn Dou, Jesse Kove, Bruce Locke","English, Mandarin, Japanese","$5,975",Poland
I Still Know What You Did Last Summer,13-Nov-98,7.0,"Horror, Mystery","In this chilling sequel, unfinished business with coed Julie James brings a murderer to the Bahamas to terrorize her and her friends during vacation.","Mekhi Phifer, Freddie Prinze Jr., Brandy Norwood, Jennifer Love Hewitt",English,"$40,002,112","Thailand,Singapore,Hong Kong"
Bumblebee,21-Dec-18,91.0,"Action, Adventure, Sci-Fi","Fleeing from the Decepticons in 1987, Bumblebee hides out on Earth. But after he befriends a sad teen, the battered Beetle’s foes are hot on his trail.","John Cena, Jason Drucker, Hailee Steinfeld, Jorge Lendeborg Jr.",English,"$127,195,589","South Korea,Hungary,South Africa,Hong Kong,Canada,Thailand,Belgium,Czech Republic,Netherlands,Spain,Portugal,Israel,Italy,Australia,Poland,Singapore,India,Greece,Malaysia,Slovakia,Turkey,United Kingdom,Romania"
Are We Done Yet?,04-Apr-07,8.0,"Comedy, Family, Fantasy","When authorities arrest his young son, a taxi driver must convince the courts and rabid media that hes not the criminal they seek.","Ice Cube, Aleisha Allen, John C. McGinley, Nia Long",English,"$49,662,533","Australia,Portugal,Singapore,South Korea,France,Japan,Russia,Hong Kong,Poland,Netherlands,Sweden,Thailand,Italy,Iceland,India,Switzerland,Romania,Lithuania,Germany,Brazil,Belgium,Hungary,Israel,Spain,Slovakia,United Kingdom,Greece,Czech Republic,Canada,South Africa,United States,Argentina,Mexico,Turkey,Malaysia,Colombia"
Tomorrow When the War Began,24-Feb-12,64.0,"Action, Adventure, Drama",A group of teens becomes guerrilla fighters after returning from a remote camping trip to find their country at war.,"Rachel Hurd-Wood, Caitlin Stasey, Lincoln Lewis, Deniz Akdeniz",English,"$4,936",Australia
Papillon,24-Aug-18,52.0,"Adventure, Biography, Crime, Drama","Framed and condemned to a penal colony in French Guiana, a safecracker bonds with a counterfeiter and fellow prisoner in a dangerous quest for freedom.","Christopher Fairbank, Jason Ryan, Charlie Hunnam, Damijan Oklopdzic","English, Spanish","$2,335,896","Canada,Belgium,Hungary,Japan,Czech Republic,Netherlands,Romania"
Anna and the Apocalypse,30-Nov-18,77.0,"Comedy, Horror, Musical","A group of teens stabs, slashes and sings their way through a zombie apocalypse, desperately trying to survive to the next musical number.","Sarah Swire, Ella Hunt, Christopher Leveaux, Malcolm Cumming",English,"$545,597","Belgium,Canada,United Kingdom"
Replicas,11-Jan-19,11.0,"Drama, Sci-Fi, Thriller","After losing his family in a tragic accident, a neuroscientist tries to bring them back in a cloning experiment that attracts controversy and chaos.","John Ortiz, Thomas Middleditch, Alice Eve, Keanu Reeves",English,"$4,046,429","Mexico,Canada,Belgium,Japan,Hungary,Brazil,Czech Republic,Germany,Australia,Argentina,Slovakia,Colombia,Romania"
Darkest Hour,22-Dec-17,84.0,"Biography, Drama, History, War","As the threat of Nazi invasion looms, newly appointed British Prime Minister Winston Churchill rallies a nation to fight for its very survival.","Gary Oldman, Lily James, Ben Mendelsohn, Kristin Scott Thomas","English, French, German","$56,468,410","France,Switzerland"
