Title,Release Date,Score,Genre,Summary,Actors,Languages,Revenue,Country
Extreme Job,21-Jun-19,82.0,"Action, Comedy, Crime",A narcotics unit takes over a restaurant near a gangs hideout when the food they sold to keep their cover turns into the next big chicken franchise.,"Lee Hanee, Shin Ha-kyun, Joon-seok Heo, Myoung Gong","Korean, Mandarin","$1,565,885",South Korea
Default,28-Nov-18,78.0,Drama,"In 1997 South Korea, an oncoming economic crisis poses disparate challenges for a bank executive, a finance man and a small business owner.","Kim Hye-su, Yoo Ah-In, Woo-jin Jo, Joon-ho Huh","Korean, English","$203,775",South Korea
The Accidental Detective 2: In Action,22-Jun-18,73.0,"Comedy, Crime, Thriller","With a newly set up detective agency, two private eyes team up with an eccentric sleuth to uncover the answers behind a string of untimely deaths.","Yeong-hie Seo, Sang-Woo Kwon, Dong-il Sung, Sung-je Cha",Korean,"$179,045",South Korea
The Girl on the Train,07-Oct-16,44.0,"Crime, Drama, Mystery, Thriller",A troubled divorcée fixates on a seemingly ideal couple from afar until a shocking observation sends her spiraling straight into a knotty murder case.,"Emily Blunt, Justin Theroux, Rebecca Ferguson, Haley Bennett","English, Spanish","$75,395,035","Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina"
Ride Your Wave,19-Feb-20,93.0,"Animation, Comedy, Drama, Family, Fantasy, Romance",Hinako is heartbroken when her boyfriend drowns – until she discovers that he reappears in water when she sings their favorite song.,"Kentaro Ito, Honoka Matsumoto, Rina Kawaei, Ryôta Katayose",Japanese,"$332,432",Japan
Red,15-Oct-10,72.0,"Action, Comedy, Crime, Thriller","A murder investigation leads police to a photo of a suspect, but when two men are found with faces that match the picture, the case gets doubly tricky.","Bruce Willis, Jefferson Brown, Mary-Louise Parker, Heidi von Palleske","English, Russian","$90,380,162","Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina"
Burden,09-Jun-20,97.0,Drama,A young man who rises to the top of the South Carolina Ku Klux Klan decides to walk away with the help of an unexpected ally. Based on real events.,"Garrett Hedlund, Tom Wilkinson, Andrea Riseborough, Forest Whitaker",English,"$139,270",Netherlands
Love,30-Oct-15,40.0,"Drama, Romance",The troubling inner workings of a toxic marriage reveal themselves in surprising ways after one of the couple’s feuds spins out of control.,"Klara Kristin, Ugo Fox, Karl Glusman, Aomi Muyock","English, French","$249,083","Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,United States,Russia"
The Shadow,01-Jul-94,35.0,"Action, Adventure, Crime, Fantasy, Mystery, Thriller","By day, a reformed criminal masquerades as a decadent playboy; by night he becomes single-minded crime-fighting hero the Shadow.","Alec Baldwin, Peter Boyle, Penelope Ann Miller, John Lone",English,"$32,063,435",Brazil
Repo Man,02-Mar-84,98.0,"Action, Comedy, Crime, Sci-Fi, Thriller","Once lacking purpose, delinquent Otto finds a code of honor and a higher calling when he hooks up with a band of contemporary ""knights"": the repo men.","Olivia Barash, Tracey Walter, Harry Dean Stanton, Emilio Estevez","English, Spanish","$129,000","Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania"
For Love of the Game,17-Sep-99,46.0,"Drama, Romance, Sport",An aging pitcher whose future on the mound is uncertain suddenly finds himself within reach of baseballs ultimate accomplishment: a perfect game.,"Kelly Preston, Kevin Costner, John C. Reilly, Jena Malone",English,"$35,188,640","Lithuania,Poland,Czech Republic,Hungary,Slovakia,Romania,Mexico,Argentina,Colombia"
The Crew,25-Aug-00,20.0,"Comedy, Crime",Life in the garage swerves off track for a NASCAR crew chief and his tight-knit racing team when a new boss steps in and shakes things up.,"Burt Reynolds, Seymour Cassel, Dan Hedaya, Richard Dreyfuss","English, Spanish","$13,023,075","Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Canada,Portugal,Mexico,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,Hong Kong,Japan,South Korea,United States,Russia,India"
The Replacement Killers,06-Feb-98,36.0,"Action, Crime, Thriller","When hit man John Lee refuses to kill a police officers young son, replacement killers are sent in to finish the job -- and to take care of Lee.","Mira Sorvino, Michael Rooker, Kenneth Tsang, Yun-Fat Chow","English, Cantonese","$19,204,929",South Africa
Story of Women,01-Feb-90,82.0,"Drama, Romance","This drama is based on the true story of Marie-Louise Girard, a French woman put to death for performing unlawful abortions -- an occupation she stumbles into when a friend asks for her assistance in ending a pregnancy.","Marie Trintignant, François Cluzet, Nils Tavernier, Isabelle Huppert",French,"$438,483",France
The Flower of Evil,19-Feb-03,64.0,Drama,"When François returns to his familys estate in Bordeaux, scandal and long-held secrets start to unravel as his stepmother runs for local mayor.","Nathalie Baye, Suzanne Flon, Benoît Magimel, Bernard Le Coq",French,"$182,163",France
The Swindle,24-Oct-97,69.0,"Comedy, Crime, Thriller",Betty and her lover Victor make an excellent team when it comes to ripping people off in this French-language caper: She seduces and drugs their victims so they can make off with their money in the dark.,"Michel Serrault, François Cluzet, Jean-François Balmer, Isabelle Huppert","French, Hungarian, Italian, Swiss German, Latin","$250,899",France
Madame Bovary,12-Jun-15,43.0,"Drama, Romance","A woman marries a timid doctor and immediately cheats on him, leading to their financial and emotional ruin. Based on Flauberts novel.","Logan Marshall-Green, Ezra Miller, Mia Wasikowska, Rhys Ifans","English, French, Latin, German","$44,235",France
SUMMER 03,29-Aug-86,93.0,"Drama, Romance","When her grandma shares jaw-dropping revelations and raunchy advice on her deathbed, a teen and her family get thrown into a tailspin.","Sylvie Richez, Marie Rivière, Amira Chemakhi, María Luisa García","French, English, Spanish, German","$43,839",South Korea
Mr. & Mrs. Incredible,10-Jun-05,60.0,"Action, Comedy, Crime, Thriller",Two superheroes give up their day jobs for married life in a small village but discover domestic bliss is harder to pull off than fighting evil.,"Adam Brody, Brad Pitt, Angelina Jolie, Vince Vaughn","English, Spanish","$186,336,279","Singapore,Malaysia"
Dont be the First one,20-Oct-06,78.0,"Action, Crime, Thriller","Is marriage just better between funny people? Revealing their day-to-day lives, celebrity comedian couples explore the bonds that keep them together.","Priyanka Chopra, Shah Rukh Khan, Isha Koppikar, Arjun Rampal",Hindi,"$2,223,961",South Korea
